Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Reg Cap (MW)
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,ADPBA1G,3.14
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,ADPBA1L,3.14
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,ADPMH1,1.44
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV3,0.02
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV2,0.2
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV1,24.75
AGL Hydro Partnership,Agl Kemps Creek,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Y,AGLSITA1,1.0
Snowy Hydro Limited,Angaston Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Y,ANGAST1,50.0
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,N,APPIN,55.6
Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,ARWF1,241.59
Iberdrola Australia Energy Markets Pty Ltd,Avonlie Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,AVLSF1,254.1
AETV Pty Ltd,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BDL01,47.0
AETV Pty Ltd,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BDL02,47.0
Diamond Energy Pty Ltd,Baking Board Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,BAKING1,17.0
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BALDHWF1,106.6
Enel X Australia Pty Ltd,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,N,BBASEHOS,3.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BALBG1,30.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Load,Market,Scheduled,-,-,Storage,Battery,Y,BALBL1,30.0
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 973 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BANGOWF1,159.0
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 999 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BANGOWF2,84.8
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BAPS,12.85
Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BANN1,100.0
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,Y,BARCALDN,37.0
Diamond Energy Pty Ltd,Barcaldine Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,BARCSF1,20.0
AGL SA Generation Pty Limited,Barker Inlet Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,Y,BARKIPS1,211.0
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,BARRON-1,30.0
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,BARRON-2,30.0
Basslink Pty Ltd,Basslink HVDC Link,TAS1,Generator,Market,Non-Scheduled,,,,,N,BLNKTAS,478.0
Basslink Pty Ltd,Basslink HVDC Link,VIC1,Generator,Market,Non-Scheduled,,,,,N,BLNKVIC,594.0
Hydro-Electric Corporation,Bastyan Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BASTYAN,79.9
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW01,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW02,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW03,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW04,660.0
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BBTHREE1,35.0
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BBTHREE2,35.0
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BBTHREE3,35.0
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,TVPP104,58.0
Berrybank Development Pty Ltd,Berrybank Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BRYB1WF1,180.6
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Berrybank 2 Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BRYB2WF2,109.0
FS NSW Project No 1 At Pty Ltd ATF The FS NSW Project No 1 Asset Trust,Beryl Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BERYLSF1,98.0
Snowy Hydro Limited,Blowering Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BLOWERNG,80.0
X-Elio Blue Grass Pty Ltd,Blue Grass Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BLUEGSF1,183.0
Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,N,BOCORWF1,113.18
Bodangora Wind Farm Pty Limited,Bodangora Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BODWF1,113.19
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,MCKAY1,300.0
Iberdrola Australia Energy Markets Pty Limited,Bolivar Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BOLIVPS1,128.0
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BOWWPV1,8.25
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BOWWBA1G,3.08
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BOWWBA1L,3.08
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,BOWWDG1,0.66
Bomen Solar Farm Pty Ltd as trustee for Bomen SF Trust,Bomen Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BOMENSF1,121.0
Bouldercombe Battery Project Co Pty Ltd as trustee for Bouldercombe Battery Project Trust,Bouldercombe Battery Project,QLD1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BBATTERY,67.0
Bouldercombe Battery Project Co Pty Ltd as trustee for Bouldercombe Battery Project Trust,Bouldercombe Battery Project,QLD1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BBATRYL1,67.0
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR5,173.0
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR6,173.0
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR7,173.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR1,168.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR2,168.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,OCGT,Y,BRAEMAR3,168.0
EDL LFG (Vic) Pty Ltd,Broadmeadows Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,BROADMDW,5.0
Cape Byron Management Pty Ltd,Broadwater Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,BWTR1,38.0
NSW Electricity Networks Operations Pty Ltd as a Trustee for the NSW Electricity Networks Operations Trust,Broken Hill Gas Turbines,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,OCGT,N,GB01,50.0
AGL Hydro Partnership,Broken Hill Solar Plant,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,N,BROKENH1,53.76
EDL LFG (Vic) Pty Ltd,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,BROOKLYN,2.83
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BROWNMT,5.0
EDL LFG (Qld) Pty Ltd,Browns Plains Landfill Gas PS,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,BPLANDF1,2.0
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BULBESG1,24.0
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BULBESL1,24.0
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BULGANA1,204.0
Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Bungala One Solar Farm,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BNGSF1,135.0
Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Bungala Two Solar Farm,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BNGSF2,135.0
AGL Hydro Partnership,Burrendong Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BDONGHYD,19.0
GSP Energy Pty Ltd,Burrinjuck Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BURRIN,34.0
Hydro-Electric Corporation,Butlers Gorge Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BUTLERSG,14.4
Callide Power Trading Pty Limited,Callide C Nett Off,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,Y,CPP_3,466.0
Callide Power Trading Pty Limited,Callide C Nett Off,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,Y,CPP_4,420.0
CS Energy Limited,Callide Power Station,QLD1,Generator,Non-Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,-,30.0
CS Energy Limited,Callide Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,CALL_A_4,30.0
CS Energy Limited,Callide Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,CALL_B_1,350.0
CS Energy Limited,Callide Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,CALL_B_2,350.0
Canunda Power Pty Ltd,Canunda Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,Y,CNUNDAWF,46.0
Iberdrola Australia Holdings Pty Limited,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,N,CESF1,0.205
Iberdrola Australia Holdings Pty Limited,Capital Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,CAPTL_WF,140.0
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,LI_WY_CA,173.7
Cathedral Rocks Wind Farm Pty Ltd,Cathedral Rocks,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CATHROCK,66.0
Wild Cattle Hill Pty Ltd,Cattle Hill Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CTHLWF1,148.0
Hydro-Electric Corporation,Cethana Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,CETHANA,85.0
Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,Y,CHALLHWF,52.5
AETV Pty Ltd,Chepstowe Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,CHPSTWF1,6.15
Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust,Cherry Tree Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CHYTWF1,57.6
Childers Solar Pty Ltd ATF The Childers Solar Trust,Childers Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,CHILDSF1,64.38
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,CBWWBA1G,2.16
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Load,Market,Scheduled,-,-,Storage,Battery,Y,CBWWBA1L,2.16
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Biogas - sludge,Combustion,Compression Reciprocating Engine,N,CBWWBG1,0.664
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,CBWWDG1,2.0
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,CBWWDG2,0.72
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,N,CBWWPV1,2.75
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,N,CBWWPV2,1.08
Clare Solar Farm Pty Ltd,Clare Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,CLARESF1,110.262
EDL LFG (Vic) Pty Ltd,Clayton Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,CLAYTON,11.0
Pacific Hydro Clements Gap Pty Ltd,Clements Gap Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,N,CLEMGPWF,57.0
Clermont Asset Co Pty Ltd ATF Clermont Solar Unit Trust,Clermont Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,CLERMSF1,92.5
AGL Hydro Partnership,Clover Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,CLOVER,29.0
Hydro-Electric Corporation,Cluny Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,CLUNY,19.0
Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,CODRNGTON,18.2
Enel Energy Australia Pty Ltd,Cohuna Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,COHUNSF1,31.0
Coleambally Solar Pty Ltd,Coleambally Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,COLEASF1,180.0
Columboola Solar Farm Nominees Pty Ltd as Trustee for Columboola Solar Farm Op Trust,Columboola Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,COLUMSF1,217.0
Collector Wind Farm Pty Ltd,Collector Wind Farm 1,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,COLWF01,226.0
Braemar Power Project Pty Ltd,Collinsville Solar PV Power Station,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,CSPVPS1,42.0
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,CG1,181.0
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,CG2,181.0
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,CG3,181.0
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,CG4,181.0
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,Y,CPSA,143.0
Cape Byron Management Pty Ltd,Condong Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,CONDONG1,30.0
Coonooer Bridge Wind Farm Pty Ltd,Coonooer Bridge Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,CBWF1,19.8
AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,COOPGWF1,174.0
AGL Hydro Partnership,Copeton Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,COPTNHYD,22.5
Corowa Operationsco Pty Ltd As The Trustee For Corowa Operations Trust,Corowa Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,CRWASF1,36.0
Crookwell Development Pty Ltd,Crookwell 2 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CROOKWF2,96.04
Pacific Hydro Crowlands Pty Ltd,Crowlands Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CROWLWF1,79.95
CRWF Nominees Pty Ltd As Trustee For The CRWF Trust,Crudine Ridge Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,CRURWF1,141.0
Cullerin Range Wind Farm Pty Ltd,Cullerin Range Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,CULLRGWF,30.0
Arrow Energy Trading Pty Ltd,Daandine Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,N,DAANDINE,33.0
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,DALNTH01,30.0
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Load,Market,Scheduled,-,-,Storage,Battery,Y,DALNTHL1,30.0
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,Y,DDPS1,280.0
Darling Downs Solar Farm Pty Ltd,Darling Downs Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,DDSF1,121.0
EnergyAustralia Pty Ltd,Darlington Point Energy Storage System,NSW1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,DPNTBG1,25.0
,Darlington Point Energy Storage System,NSW1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,DPNTBL1,25.0
Darlington Point Solar Farm Pty Ltd,Darlington Point Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,DARLSF1,324.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,DARTM1,185.0
Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,DAYDSF1,79.75
Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,DAYDSF2,88.0
Hydro-Electric Corporation,Devils Gate Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,DEVILS_G,60.0
Diapur Wind Farm Pty Ltd,Diapur Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,DIAPURWF1,8.0
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,DRYCGT1,52.0
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,DRYCGT2,52.0
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,DRYCGT3,52.0
Dulacca Energy Project Co Pty Ltd,Dulacca Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,DULAWF1,180.0
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,DUNDWF1,168.0
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,DUNDWF2,46.0
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,DUNDWF3,121.0
LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,Y,EASTCRK2,6.738
EDL LFG (NSW) Pty Ltd,Eastern Creek LFG PS Units 1-4,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,EASTCRK,5.056
Edenvale Solar Park Pty Ltd,Edenvale Solar Park,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,EDENVSF1,180.0
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,EILDON1,60.0
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,EILDON2,60.0
Pacific Hydro Investments Pty Ltd,Eildon Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Run of River,N,EILDON3,4.5
Lal Lal Wind Farms Nom Co Pty Ltd,Elaine Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,ELAINWF1,83.6
Telstra Energy (Generation) Pty Ltd,Emerald Solar Park,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,N,EMERASF1,88.0
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,ER01,720.0
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,ER02,720.0
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,ER03,720.0
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,ER04,720.0
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,OCGT,N,ERGT01,41.5
Diamond Energy Pty Ltd,Ferguson North Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,FNWF1,4.0
Diamond Energy Pty Ltd,Ferguson South Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,FSWF1,8.0
Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,FINLYSF1,162.36
Hydro-Electric Corporation,Fisher Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,FISHER,43.2
